post_id,post_text,time,likes,comments,shares,reaction_count,like,love,wow,angry,haha,care,sad
696664639166139,"You gotta know when to stop! Unless of course... you're Bugs Bunny and you never lose 😏

📺Looney Tunes Cartoons: Everyday at 4:30PM (SG/MY) | 3:30PM (TH/ID) and Weekdays at 5:45PM (PH) | Stream now on HBO Asia",2023-09-20 19:01:04,322,2,19,533,322,39.0,1.0,1.0,163.0,6.0,1.0
709815014517768,"All the adventure you never knew you needed! Catch Tom & Jerry as they chase one another from world to world. 😼🐭

📺 Tom and Jerry On The Move: Every day from Sep 18 at 12.15PM (PH) and
Weekends from Sep 23 at 10.30AM (SG/MY) | 9.30AM (TH/ID)",2023-09-19 19:00:38,5992,27,330,6694,5992,401.0,6.0,0.0,269.0,26.0,0.0
709142917918311,"Welcome to Panda's morning routine 😌 Full of optimism, self-love and of course, Bamboo! 🥰🎍

📺We Bare Bears: Weekdays at 11:45AM (PH) |7:30PM (SG/MY) | 6:30PM (TH/ID) and Weekends at 3PM (SG/MY) | 2PM (TH/ID)",2023-09-18 19:01:06,12216,51,849,16373,12216,3747.0,12.0,3.0,32.0,360.0,3.0
708937424605527,"It's not easy staying chill in a hotter world! ☀️🌎

Find out what are the SAFE STEPS you can take to keep it cool 😎

Find Out More: www.safestepskids.com

#SafeStepsKids #PrudenceFoundation International Federation of Red Cross and Red Crescent Societies",2023-09-18 11:05:02,78,1,5,104,78,24.0,0.0,0.0,0.0,2.0,0.0
706080611557875,Happy Batman Day from the purr-fect dynamic duo! 🦇🐭 We're not in Gotham City anymore...,2023-09-16 10:00:43,312,6,44,484,312,122.0,7.0,0.0,38.0,5.0,0.0
706788618153741,One king will lead us all. #Aquaman and the Lost Kingdom - in cinemas this December.,2023-09-14 23:00:01,619,18,110,1021,619,292.0,90.0,1.0,7.0,12.0,0.0
696676182498318,"Super-dog sitting sure looks like its giving Robin some super-stress! Things are looking ruff... 🐶

📺 Teen Titans Go!: Weekends at 10AM (SG/MY) |9AM (TH/ID) |11.15AM (PH)",2023-09-14 19:00:26,208,6,17,310,208,45.0,2.0,2.0,48.0,5.0,0.0
706162411549695,"Tom the blob monster vs Village mice: 1-0 🟢

Who knew Tom was hiding all that mighty huffin, puffin and swallowing up his sleeve! 😱

📺 Tom & Jerry On The Move: Every day from Sep 18 at 12.15PM (PH) and Weekends from Sep 23 - Oct 15 at 10.30AM (SG/MY) | 9.30AM (TH/ID)",2023-09-13 19:00:43,14462,36,730,16037,14462,940.0,20.0,2.0,547.0,64.0,2.0
696675489165054,"Watching the Batmobile rev into action, NEVER gets old. Buckle up for a turbo-charged ride and let us know which is your favorite Batmobile! 🦇🏎

📺 Batman Day on Cartoon Network: Weekends from Sep 2-17 at 11.15AM (PH) | 9.30AM (SG/MY) | 8.30AM (TH/ID)",2023-09-11 19:00:21,111,2,15,151,111,32.0,1.0,0.0,2.0,5.0,0.0
704134041752532,Rev up your engines and get ready to race! 🚗🔥 It's time to grab a friend and see who can conquer the track! 🏁👊#HotWheelsChallengeAccepted,2023-09-10 10:40:44,80,2,5,104,80,9.0,1.0,1.0,9.0,3.0,1.0
702816021884334,"Genie or not, we are definitely #TeamNoBullying around here! 😤 Let the We Baby Bears show you who's boss this time!

📺 We Baby Bears: Every day on Cartoon Network | Stream on HBO Asia",2023-09-09 19:00:07,277,5,16,421,277,118.0,2.0,2.0,12.0,9.0,1.0
696674449165158,"Aquaman doesn't just pack a punch, he packs a whole lot of inspiration and optimism in his pep talks too... 🔱

📺 Batman Day on Cartoon Network: Weekends from Sep 2-17 at 11.15AM (PH) | 9.30AM (SG/MY) | 8.30AM (TH/ID)",2023-09-06 19:00:55,285,3,27,373,285,76.0,3.0,0.0,0.0,9.0,0.0
696662559166347,"Is there anything Bertie can't do? 🐦 You can never really remove the 'dashing' in the 'dashing heroic little prince' title after all...

📺 The Heroic Quest Of The Valiant Prince Ivandoe - From 11 Sep, Mondays to Thursdays at 11.55AM (SG/MY) | 10.55AM (TH/ID) on Cartoon Network | Stream on HBO Asia",2023-09-02 19:00:51,159,7,12,244,159,34.0,1.0,0.0,49.0,1.0,0.0
699482508884352,"Buckle up for a September to Remember! 💫 The G.O.A.T. are lined up alongside Tom & Jerry, new episodes of LEGO Dreamzzz, and a certain someone's special day! 🦇",2023-09-02 11:00:04,78,7,7,102,78,17.0,1.0,1.0,0.0,5.0,0.0
698926992273237,"Celebrate #WB100 with us at Sentosa, Singapore! 💥

🦸‍♀️ Get up close with your favorite DC Comics super heroes
🐭 Interactive games with Cartoon Network Asia's Tom and Jerry
😎 Exclusive WB100 goodie bags up for grabs! T&Cs apply

📆 November 10-26 at locations across Sentosa. This is a free event.

➡️ Visit www.sentosa.com.sg/wb100 for more information.

#WB100inSingapore",2023-09-01 10:55:01,155,3,8,219,155,52.0,5.0,0.0,0.0,7.0,0.0
697917729040830,"Sorry Tom, The New York animals sure are #TeamJerry in the Big Apple! 🐭🍎

📺 Tom and Jerry in New York: Stream now on HBO Asia",2023-08-30 19:01:08,68224,268,5000,83629,68224,2834.0,65.0,5.0,12164.0,321.0,16.0
